Rank	Restaurant	Neighborhood	Cuisine Category	Price
1	Stateside	East Passyunk	American	 $$
2	Marigold Kitchen	University City	New American	 $$$
3	Vedge	Washington Square West	Vegetarian	 $$
4	The Farm and Fisherman	Washington Square West	New American	 $$
5	Le Virtu	East Passyunk	Italian	 $$
6	Sbraga	Avenue of the Arts	New American	 $$$
7	Fond	East Passyunk	New American	 $$$
8	Amis	Midtown Village	Italian	 $$$
9	Vetri	Center City East	Italian	 $$$$
10	Bibou	Bella Vista	French	 $$
11	Blackfish	Montgomery County	New American	 $$$
12	Brauhaus Schmitz	South Street	German	 $$
13	Osteria	Fairmount	Italian	 $$$
14	Zahav	Old City	Israeli	 $$$
15	Vernick Food & Drink	Rittenhouse Square	American	 $$$
16	Will	East Passyunk	French	 $$
17	Fork Restaurant	Old City	New American	 $$
18	Zeppoli	South Jersey	Italian	 $$
19	Han Dynasty	Montgomery County	Chinese	 $$
20	Fountain Restaurant	Center City West	New American	 $$$$
21	Amada	Old City	Spanish	 $$$
22	Dandelion	Rittenhouse Square	Gastropub	 $$$
23	Tashan	Avenue of the Arts	Indian	 $$$
24	Little Fish	Bella Vista	Seafood	 $$$
25	JG Domestic	University City	American	 $$$$
26	Le Bec Fin	Center City West	French	 $$$$
27	Zama	Rittenhouse Square	Sushi	 $$$
28	Jamonera	Midtown Village	Spanish	 $$
29	Il Pittore	Rittenhouse Square	Italian	 $$$
30	Alla Spina	Fairmount	Italian	 $$$
31	Pub & Kitchen	Graduate Hospital	Gastropub	 $$
32	Pumpkin	Graduate Hospital	New American	 $$
33	Barbuzzo	Midtown Village	Mediterranean	 $$$
34	Kanella	Center City East	Cypriot	 $$
35	Sovana Bistro	Chester County	New American	 $$
36	Bistro 7	Old City	New American	 $$$
37	Nectar	Main Line	Asian	 $$$
38	Bistrot La Minette	Queen Village	French	 $$$
39	Oyster House	Center City West	Seafood	 $$$
40	Butcher & Singer	Center City West	Steakhouse	 $$$$
41	Lacroix	Rittenhouse Square	French	 $$$$
42	Standard Tap	Northern Liberties	Gastropub	 $$
43	Matyson	Center City West	New American	 $$
45	Percy Street Barbecue	South Street	Barbecue,Southern	 $$
46	Federal Donuts	Pennsport	Comfort Food	 $$
47	Supper	South Street	New American	 $$$
48	Mica	Chestnut Hill	New American	 $$$
49	Talulas Garden	Center City East	New American	 $$$
50	Parc	Rittenhouse Square	French	 $$
