Rank	Bar	Neighborhood	Cuisine Category	Price
1	Franklin Mortgage & Investment Co.			
2	Standard Tap			
3	Southwark			
4	Pub on Passyunk East			
5	South Philadelphia Taproom			
6	Monks Cafe			
7	Varga Bar			
8	Johnny Brendas			
10	Royal Tavern			
11	Tria Cafe			
12	Memphis Taproom			
13	Sidecar Bar & Grille			
14	Village Whiskey			
15	Resurrection Ale House			
16	Good Dog Bar			
18	Grey Lodge			
19	City Tap House			
20	Pub & Kitchen			
21	Silk City Diner			
22	Oyster House			
23	Local 44			
24	Teresas Next Door			
25	Kung Fu Necktie			
26	Oscars			
27	Kraftwork			
28	Grace Tavern			
29	700 Club			
30	Jose Pistolas			
31	Xochitl			
32	Brauhaus Schmitz			
33	Ranstead Room			
34	Rays Happy Birthday Bar			
35	Bob & Barbaras			
36	Institute			
37	Nodding Head			
38	Stogie Joes			
39	Barbary			
40	Cantina Los Caballitos			
41	Earth Bread + Brewery			
43	Devils Den			
44	Fergies			
45	For Petes Sake			
47	TJs Restaurant & Drinkery			
48	McGlincheys			
49	St. Stephens Green			
50	McGillins Olde Ale House			
